rate,word
24,we
25,his
26,from
27,that
28,not
29,n.97
30,by
31,she
32,or
33,as
34,what
35,go
71,could
72,now
73,than
74,like
75,other
76,how
77,then
78,its
79,our
80,two
81,more
166,country
167,help
168,talk
169,where
170,turn
171,problem
172,every
176,American
177,show
230,mother
231,area
232,national
233,money
234,story
249,side
250,kind
260,after
261,since
317,ago
318,right
319,lead
320,social
321,understand
322,whether
323,back
348,sure
349,such
350,war
351,history
352,party
353,within
354,grow
355,result
356,open
357,change
455,effort
456,up
457,decide
458,rate
459,strong
460,possible
461,heart
462,drug
463,show
464,leader
465,light
466,voice
571,doctor
572,wall
611,soon
612,culture
613,billion
614,chance
615,brother
616,energy
617,period
618,course
619,summer
620,less
621,real
745,thus
746,treatment
747,beyond
748,happy
749,exactly
750,protect
849,clearly
881,help
882,close
883,sound
998,improve
999,stuff
1001,method
